Tytuł;Tytuł org.;Rok;Długość;Ocena;Liczba ocen;Chce zobaczyć;Ocena krytyków;Liczba ocen krytyków;Reżyser;Scenariusz;Gatunek;Kraj;Box Office;Budżet;1;2;3;4;5;6;7;8;9;10;Komentarze;Typ długości;Region
Forrest Gump;Forrest Gump;1994;142.0;8.54563;981193;66819;7.67742;31.0;Robert Zemeckis;Eric Roth;Dramat;USA;330455270.0;55000000.0;6071;2601;5521;9052;18857;34847;94187;232202;277978;299877;7256;Długometrażowy;USA
Shrek;Shrek;2001;90.0;7.80148;825488;13373;7.45833;24.0;Andrew Adamson, Vicky Jenson;Joe Stillman, Roger S.H. Schulman;Animacja;USA;268163011.0;60000000.0;6641;3751;8023;15535;31951;69792;160637;254170;146528;128460;2709;Długometrażowy;USA
Nietykalni;Intouchables;2011;112.0;8.64775;667188;47471;6.25;28.0;Olivier Nakache, Éric Toledano;Olivier Nakache, Éric Toledano;Dokumentalny;Francja;10198820.0;10800000.0;1786;497;1570;2712;6897;17933;59712;166726;236087;173268;11229;Długometrażowy;Europa
Kac Vegas;The Hangover;2009;100.0;7.27408;722339;25343;6.45;20.0;Todd Phillips;Scott Moore, Jon Lucas;Komedia;USA;277322503.0;35000000.0;12727;7428;16928;23809;42522;86538;165400;190395;97971;78621;4980;Długometrażowy;USA
American Beauty;American Beauty;1999;122.0;7.62557;516094;73045;8.37931;29.0;Sam Mendes;Alan Ball;Dramat;USA;130096601.0;15000000.0;4545;3081;7315;11751;25367;47680;104937;154981;95835;60602;5063;Długometrażowy;USA
Dzień świra;Dzień świra;2002;93.0;7.77736;614557;29831;8.07143;28.0;Marek Koterski;Marek Koterski;Dramat;Polska;;;6534;3914;8845;12237;24016;46619;112221;186029;125208;88934;4548;Długometrażowy;Polska
Życie jest piękne;La vita è bella;1997;116.0;8.36987;280988;83409;7.81818;22.0;Roberto Benigni;Roberto Benigni, Vincenzo Cerami;Dramat;Włochy;57563264.0;20000000.0;1533;444;1270;1816;4580;10616;33095;84350;87562;55722;2349;Długometrażowy;Europa
Bruce Wszechmogący;Bruce Almighty;2003;101.0;6.86058;482901;15432;5.71429;14.0;Tom Shadyac;Steve Oedekerk, Steve Koren;Fantasy;USA;242829261.0;81000000.0;3513;3823;10626;20167;44731;94504;141785;97583;36253;29916;1600;Długometrażowy;USA
Lśnienie;The Shining;1980;146.0;7.80691;416349;97621;8.55556;27.0;Stanley Kubrick;Stanley Kubrick, Diane Johnson;Thriller;Wielka Brytania;45634352.0;19000000.0;2860;2064;5714;8084;17627;32956;76340;123622;86115;60967;11074;Długometrażowy;Europa
Wywiad z wampirem;Interview with the Vampire: The Vampire Chronicles;1994;123.0;7.67558;306484;47903;7.23529;17.0;Neil Jordan;Anne Rice;Dramat;USA;105264608.0;60000000.0;1368;1005;3064;5171;12630;29088;70448;98278;52170;33262;4012;Długometrażowy;USA
1408;1408;2007;112.0;6.82234;264585;61507;5.72727;11.0;Mikael Håfström;Scott Alexander, Matt Greenberg;Thriller;USA;71985628.0;25000000.0;2338;2725;7268;11937;25829;47352;73491;57066;22264;14315;3512;Długometrażowy;USA
Jeździec bez głowy;Sleepy Hollow;1999;105.0;7.39536;232378;47293;7.26316;19.0;Tim Burton;Andrew Kevin Walker, Kevin Yagher;Thriller;USA;101071502.0;100000000.0;1057;857;2469;4518;11706;29542;66356;70568;27598;17707;1872;Długometrażowy;USA
"Obcy - 8. pasażer ""Nostromo""";Alien;1979;117.0;7.85612;284326;24854;8.85714;28.0;Ridley Scott;Dan O'Bannon;Thriller;Wielka Brytania;81900459.0;11000000.0;2492;1554;3200;4751;9505;21485;53713;86521;56150;44955;8174;Długometrażowy;Europa
Mgła;The Mist;2007;126.0;5.79472;225830;51240;4.8;10.0;Frank Darabont;Frank Darabont;Thriller;USA;25594957.0;18000000.0;8104;7699;18258;22205;37270;44022;42903;26469;10030;8870;6478;Długometrażowy;USA
Dziewiąte wrota;The Ninth Gate;1999;133.0;7.21176;205611;39121;6.05556;18.0;Roman Polański;Roman Polański, John Brownjohn;Dramat;Francja;18661336.0;38000000.0;677;818;2701;4632;13134;29967;63450;58372;21325;10535;1592;Długometrażowy;Europa
Obecność;The Conjuring;2013;112.0;7.39405;227040;19641;6.66667;18.0;James Wan;Chad Hayes, Carey W. Hayes;Thriller;USA;137400141.0;20000000.0;595;608;2177;4009;10984;28090;66384;73877;27957;12359;6348;Długometrażowy;USA
Edward Nożycoręki;Edward Scissorhands;1990;105.0;7.71945;399667;56286;7.72727;22.0;Tim Burton;Tim Burton, Caroline Thompson;Dramat;USA;56362352.0;20000000.0;2424;1733;4421;7270;16462;36489;86880;120961;70386;52641;2996;Długometrażowy;USA
Iluzjonista;The Illusionist;2006;110.0;7.76757;289478;59819;5.875;16.0;Neil Burger;Neil Burger;Fantasy;USA;39868642.0;16500000.0;554;405;1292;2653;7843;23810;70093;107971;52374;22483;2859;Długometrażowy;USA
Król Lew;The Lion King;1994;89.0;8.24693;567481;17530;8.54545;22.0;Rob Minkoff, Roger Allers;Jonathan Roberts, Linda Woolverton;Animacja;USA;422783777.0;45000000.0;3817;2170;4607;7577;14671;31645;79263;152238;123209;148284;7106;Długometrażowy;USA
Alicja w Krainie Czarów;Alice in Wonderland;2010;108.0;7.09822;363834;32375;5.23529;17.0;Tim Burton;Linda Woolverton;Familijny;USA;334191110.0;200000000.0;2230;2046;6666;11243;28575;59630;105504;86149;35003;26788;7586;Długometrażowy;USA
Kevin sam w domu;Home Alone;1990;103.0;7.1206;418755;6221;7.31579;19.0;Chris Columbus;John Hughes;Familijny;USA;285761243.0;18000000.0;7416;4514;9716;16282;28612;59434;107833;95309;42289;47350;3754;Długometrażowy;USA
